tick,lot_id,x,y,residential_units,commercial_units,occupied_residential,occupied_commercial,vacant_residential,vacant_commercial,residential_rent,commercial_rent
250.0,1.0,1.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,1.109961163545945,1.0
250.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.13434968170255,1.0
250.0,3.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.4357098264087145,1.0
250.0,4.0,4.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,1.3093176143978884,1.0
250.0,5.0,5.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0
250.0,6.0,6.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0
250.0,7.0,7.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,2.5262942314774435,1.0
250.0,8.0,8.0,1.0,4.0,1.0,3.0,0.0,1.0,1.0,1.222411740359743,1.0
250.0,9.0,9.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,1.335762313808081,1.0
250.0,10.0,10.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,4.414485036435555,1.0
250.0,11.0,11.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.213139456224836,1.0
250.0,12.0,12.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,1.8602846119958396,1.2150183102161216
250.0,13.0,13.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.62995815379804,1.0
250.0,14.0,14.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,2.2354811321948955,1.0
250.0,15.0,15.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,4.78374271238582,1.0
250.0,16.0,16.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,4.827683389019544,1.0
250.0,17.0,17.0,1.0,6.0,0.0,6.0,0.0,0.0,0.0,3.293381465113659,1.0
250.0,18.0,18.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,6.2377469709889395,1.0
250.0,19.0,19.0,1.0,5.0,0.0,4.0,0.0,1.0,0.0,4.230395290068049,1.0
250.0,20.0,20.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,5.59702294884346,1.5890637657706437
250.0,21.0,21.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,7.753743485202828,1.776989631549688
250.0,22.0,22.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,5.278581739746997,1.0
250.0,23.0,23.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,5.876236240995052,1.0
250.0,24.0,24.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,5.276356770948194,1.0
250.0,25.0,25.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,3.627025452531819,1.0
250.0,26.0,26.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.63117450098551,1.0
250.0,27.0,27.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,3.392182909067068,1.0
250.0,28.0,28.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,2.796789651915209,1.0
