"tick","population","employed","unemployed","housed","unhoused","residential_units","vacant_residential_units","commercial_units","vacant_commercial_units","active_firms","firm_job_vacancies","firms_with_job_vacancies","committed_output","realized_sales","unsold_output","sold_out_firms","mean_wage","mean_residential_rent","mean_commercial_rent","mean_goods_price","housing_excess_supply","housing_excess_demand","labor_excess_supply","labor_excess_demand","commercial_space_excess_supply","goods_excess_supply","housing_vacancy_rate","commercial_vacancy_rate","goods_unsold_rate","employment_rate","housing_rate"
1,3001,2447,554,1368,1633,1616,248,1601,1451,150,253,48,2598,1674,924,23,9.97562803241049,2.44519930833156,5.18793964126252,4.99207777857657,248,1633,554,253,1451,924,0.153465346534653,0.90630855715178,0.355658198614319,0.815394868377208,0.455848050649783
2,3003,2437,566,1375,1628,1633,258,1602,1451,150,263,48,2515,1584,931,22,9.98666741808535,2.48647773739348,4.49087650914967,4.96491950316224,258,1628,566,263,1451,931,0.1579914268218,0.905742821473159,0.370178926441352,0.811521811521812,0.457875457875458
3,3005,2307,698,1376,1629,1640,264,1603,1452,150,393,55,2520,1540,980,19,9.99997686332353,2.52807190905898,3.90032768269635,4.94120736539767,264,1629,698,393,1452,980,0.160975609756098,0.905801621958827,0.388888888888889,0.767720465890183,0.457903494176373
4,3008,2258,750,1386,1622,1650,264,1605,1453,150,442,57,2427,1511,916,30,10.0008101006487,2.57149642451407,3.40060870159005,4.90537977244257,264,1622,750,442,1453,916,0.16,0.905295950155763,0.377420683971982,0.750664893617021,0.460771276595745
5,3010,2156,854,1349,1661,1666,317,1608,1454,150,544,63,2396,1511,885,28,10.0160595073745,2.61002187800621,2.97839783310271,4.88151245716132,317,1661,854,544,1454,885,0.190276110444178,0.904228855721393,0.369365609348915,0.716279069767442,0.448172757475083
6,3013,2118,895,1306,1707,1674,368,1609,1454,150,582,70,2343,1462,881,41,10.0429862231811,2.64155907964816,2.62179207585418,4.85297673191856,368,1707,895,582,1454,881,0.219832735961768,0.90366687383468,0.376013657703799,0.702953866578161,0.433455028211085
7,3017,2093,924,1281,1736,1690,409,1609,1451,150,607,68,2329,1456,873,27,10.0649365349251,2.66851438004981,2.32137188794219,4.83222251897845,409,1736,924,607,1451,873,0.242011834319527,0.901802361715351,0.374838986689566,0.693735498839907,0.424593967517401
8,3019,2081,938,1265,1754,1705,440,1605,1447,150,619,70,2321,1466,855,26,10.0690975811549,2.6914479043318,2.06738221426624,4.81101690526185,440,1754,938,619,1447,855,0.258064516129032,0.901557632398754,0.368375700129255,0.689301093077178,0.419012918184829
9,3022,2075,947,1276,1746,1731,455,1602,1444,150,625,79,2330,1445,885,26,10.0814462082477,2.71441320477412,1.85488107326379,4.79308572541998,455,1746,947,625,1444,885,0.262853841709994,0.901373283395755,0.379828326180258,0.686631369953673,0.42223692918597
10,3024,2057,967,1257,1767,1748,491,1600,1442,150,643,84,2323,1463,860,27,10.0960854154761,2.7322860855988,1.68020963519866,4.75643572313107,491,1767,967,643,1442,860,0.280892448512586,0.90125,0.370210934136892,0.680224867724868,0.415674603174603
